datetime,open_price,high_price,low_price,close_price,volume,end_period_ts,market_ticker,market_title,data_source
2023-08-08,3.0,3.0,3.0,3.0,30,1691452800,TERMINALRATE-23DEC31B-T5.75,Will the maximum federal funds rate in 2023 be above 5.75%?,trades
2023-08-25,4.0,4.0,4.0,4.0,1,1692921600,TERMINALRATE-23DEC31B-T5.75,Will the maximum federal funds rate in 2023 be above 5.75%?,trades
2023-08-26,4.0,4.0,3.0,3.0,705,1693008000,TERMINALRATE-23DEC31B-T5.75,Will the maximum federal funds rate in 2023 be above 5.75%?,trades
2023-08-29,5.0,10.0,5.0,10.0,33,1693267200,TERMINALRATE-23DEC31B-T5.75,Will the maximum federal funds rate in 2023 be above 5.75%?,trades
2023-08-30,3.0,3.0,3.0,3.0,30,1693353600,TERMINALRATE-23DEC31B-T5.75,Will the maximum federal funds rate in 2023 be above 5.75%?,trades
2023-09-21,1.0,1.0,1.0,1.0,2,1695254400,TERMINALRATE-23DEC31B-T5.75,Will the maximum federal funds rate in 2023 be above 5.75%?,trades
2023-08-08,52.0,52.0,43.0,43.0,20,1691452800,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-08-16,52.0,52.0,52.0,52.0,2,1692144000,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-08-26,52.0,53.0,51.0,53.0,1875,1693008000,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-08-29,57.0,57.0,57.0,57.0,103,1693267200,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-08-30,57.0,59.0,57.0,59.0,530,1693353600,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-09-10,35.0,45.0,35.0,45.0,80,1694304000,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-09-17,50.0,50.0,50.0,50.0,500,1694908800,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-09-20,55.0,55.0,55.0,55.0,500,1695168000,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-09-21,55.0,55.0,55.0,55.0,90,1695254400,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-09-23,57.0,57.0,57.0,57.0,42,1695427200,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-09-26,46.0,46.0,46.0,46.0,1250,1695686400,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-09-27,49.0,49.0,49.0,49.0,8,1695772800,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-09-28,43.0,43.0,43.0,43.0,1250,1695859200,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-09-29,40.0,40.0,40.0,40.0,200,1695945600,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-09-30,47.0,47.0,46.0,47.0,550,1696032000,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-10-02,45.0,45.0,45.0,45.0,50,1696204800,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-10-03,45.0,45.0,45.0,45.0,450,1696291200,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-10-04,40.0,40.0,40.0,40.0,160,1696377600,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-10-06,44.0,59.0,40.0,53.0,1130,1696550400,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-10-09,35.0,35.0,35.0,35.0,350,1696809600,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-10-11,26.0,26.0,26.0,26.0,2,1696982400,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-10-13,25.0,25.0,23.0,23.0,500,1697155200,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-10-17,21.0,21.0,21.0,21.0,555,1697500800,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-10-18,38.0,38.0,38.0,38.0,1,1697587200,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-10-20,17.0,17.0,17.0,17.0,100,1697760000,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-10-21,18.0,18.0,17.0,17.0,1155,1697846400,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-10-22,17.0,17.0,17.0,17.0,602,1697932800,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-10-23,17.0,17.0,17.0,17.0,480,1698019200,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-10-24,18.0,18.0,18.0,18.0,332,1698105600,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-10-30,16.0,16.0,16.0,16.0,200,1698624000,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-11-01,15.0,15.0,15.0,15.0,200,1698796800,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-11-09,9.0,9.0,9.0,9.0,125,1699488000,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-11-10,9.0,9.0,9.0,9.0,125,1699574400,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-11-12,9.0,9.0,9.0,9.0,875,1699747200,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-11-13,9.0,10.0,9.0,9.0,1010,1699833600,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-11-14,8.0,8.0,4.0,4.0,1400,1699920000,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-11-16,3.0,3.0,3.0,3.0,1650,1700092800,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-11-22,3.0,3.0,3.0,3.0,200,1700611200,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-11-23,3.0,3.0,3.0,3.0,200,1700697600,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-11-24,3.0,3.0,3.0,3.0,100,1700784000,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-11-30,3.0,3.0,3.0,3.0,190,1701302400,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-12-11,3.0,3.0,3.0,3.0,1,1702252800,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-12-12,3.0,3.0,3.0,3.0,31,1702339200,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-12-21,1.0,1.0,1.0,1.0,25,1703116800,TERMINALRATE-23DEC31B-B5.630,Will the maximum federal funds rate in 2023 be between 5.51% and 5.75%?,trades
2023-08-04,49.0,59.0,49.0,54.0,144,1691107200,TERMINALRATE-23DEC31B-B5.380,Will the maximum federal funds rate in 2023 be between 5.26% and 5.50%?,trades
2023-08-08,49.0,49.0,49.0,49.0,30,1691452800,TERMINALRATE-23DEC31B-B5.380,Will the maximum federal funds rate in 2023 be between 5.26% and 5.50%?,trades
2023-08-26,46.0,46.0,45.0,45.0,955,1693008000,TERMINALRATE-23DEC31B-B5.380,Will the maximum federal funds rate in 2023 be between 5.26% and 5.50%?,trades
2023-08-29,38.0,38.0,38.0,38.0,3,1693267200,TERMINALRATE-23DEC31B-B5.380,Will the maximum federal funds rate in 2023 be between 5.26% and 5.50%?,trades
2023-08-30,40.0,40.0,38.0,38.0,280,1693353600,TERMINALRATE-23DEC31B-B5.380,Will the maximum federal funds rate in 2023 be between 5.26% and 5.50%?,trades
2023-08-31,39.0,40.0,39.0,40.0,233,1693440000,TERMINALRATE-23DEC31B-B5.380,Will the maximum federal funds rate in 2023 be between 5.26% and 5.50%?,trades
