can_close_early,category,close_time,created_time,early_close_condition,event_ticker,expected_expiration_time,expiration_time,expiration_value,last_price,last_price_dollars,latest_expiration_time,liquidity,liquidity_dollars,market_type,no_ask,no_ask_dollars,no_bid,no_bid_dollars,no_sub_title,notional_value,notional_value_dollars,open_interest,open_time,previous_price,previous_price_dollars,previous_yes_ask,previous_yes_ask_dollars,previous_yes_bid,previous_yes_bid_dollars,price_level_structure,price_ranges,response_price_units,result,risk_limit_cents,rules_primary,rules_secondary,settlement_timer_seconds,status,subtitle,tick_size,ticker,title,volume,volume_24h,yes_ask,yes_ask_dollars,yes_bid,yes_bid_dollars,yes_sub_title,custom_strike,strike_type
True,,2029-01-20T15:00:00Z,2025-01-09T21:13:32.247033Z,This market will close and expire early if the event occurs.,KXFTA-29,2029-01-20T15:00:00Z,2029-01-20T15:00:00Z,,63,0.6300,2029-01-20T15:00:00Z,31270836,312708.3600,binary,42,0.4200,37,0.3700,Before 2029,100,1.0000,8371,2025-01-10T15:00:00Z,63,0.6300,63,0.6300,58,0.5800,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If a new free trade agreement with any country has become law before January 20, 2029, then the market resolves to Yes.",,1800,active,,1,KXFTA-29,"Will Trump make a new free trade agreement with any country before Jan 20, 2029?",18723,0,63,0.6300,58,0.5800,Before 2029,,
True,,2027-11-03T15:00:00Z,2025-07-01T19:27:35.675685Z,This market will close following the swearing in of the Representative for the seat in question.,HOUSECA21-26,2027-01-04T15:00:00Z,2027-11-03T15:00:00Z,,17,0.1700,2027-11-03T15:00:00Z,273957,2739.5700,binary,86,0.8600,84,0.8400,Republican party,100,1.0000,516,2025-07-01T21:00:00Z,17,0.1700,16,0.1600,14,0.1400,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If the House member sworn in for CA-21 for the term beginning in 2027 is a member of the Republican Party, then the market resolves to Yes.",,14,active,,1,HOUSECA21-26-R,Will a Republican win the House race for CA-21?,526,0,16,0.1600,14,0.1400,Republican party,{'Party': 'Republican'},custom
True,,2027-11-03T15:00:00Z,2025-07-01T19:27:35.675685Z,This market will close following the swearing in of the Representative for the seat in question.,HOUSECA21-26,2027-01-04T15:00:00Z,2027-11-03T15:00:00Z,,82,0.8200,2027-11-03T15:00:00Z,43139,431.3900,binary,22,0.2200,18,0.1800,Democratic party,100,1.0000,1402,2025-07-01T21:00:00Z,82,0.8200,82,0.8200,78,0.7800,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If the House member sworn in for CA-21 for the term beginning in 2027 is a member of the Democratic Party, then the market resolves to Yes.",,14,active,:: Current incumbent: Jim Costa,1,HOUSECA21-26-D,Will a Democrat win the House race for CA-21?,1502,0,82,0.8200,78,0.7800,Democratic party,{'Party': 'Democratic'},custom
True,,2026-12-31T15:00:00Z,2025-05-10T13:19:07.200044Z,This market will close and expire early if the event occurs.,KXCONGRESSTRADES-25,2026-05-15T15:00:00Z,2026-12-31T15:00:00Z,,0,0.0000,2026-12-31T15:00:00Z,187700,1877.0000,binary,100,1.0000,8,0.0800,Susan Collins,100,1.0000,0,2025-05-10T14:00:00Z,0,0.0000,92,0.9200,0,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If Susan Collins is the person in Congress that has the highest return on their assets in 2025, then the market resolves to Yes.",,1800,active,,1,KXCONGRESSTRADES-25-SCOL,Which member of Congress will have the biggest returns this year?,0,0,92,0.9200,0,0.0000,Susan Collins,{'Member': 'Susan Collins'},custom
True,,2026-12-31T15:00:00Z,2025-05-10T13:19:07.200044Z,This market will close and expire early if the event occurs.,KXCONGRESSTRADES-25,2026-05-15T15:00:00Z,2026-12-31T15:00:00Z,,0,0.0000,2026-12-31T15:00:00Z,150934,1509.3400,binary,100,1.0000,4,0.0400,Pete Sessions,100,1.0000,0,2025-05-10T14:00:00Z,0,0.0000,96,0.9600,0,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If Pete Sessions is the person in Congress that has the highest return on their assets in 2025, then the market resolves to Yes.",,1800,active,,1,KXCONGRESSTRADES-25-PSES,Which member of Congress will have the biggest returns this year?,0,0,96,0.9600,0,0.0000,Pete Sessions,{'Member': 'Pete Sessions'},custom
True,,2026-12-31T15:00:00Z,2025-05-10T13:19:07.200044Z,This market will close and expire early if the event occurs.,KXCONGRESSTRADES-25,2026-05-15T15:00:00Z,2026-12-31T15:00:00Z,,8,0.0800,2026-12-31T15:00:00Z,407416,4074.1600,binary,95,0.9500,75,0.7500,Nancy Pelosi,100,1.0000,854,2025-05-10T14:00:00Z,8,0.0800,25,0.2500,5,0.0500,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If Nancy Pelosi is the person in Congress that has the highest return on their assets in 2025, then the market resolves to Yes.",,1800,active,,1,KXCONGRESSTRADES-25-NPEL,Which member of Congress will have the biggest returns this year?,1103,0,25,0.2500,5,0.0500,Nancy Pelosi,{'Member': 'Nancy Pelosi'},custom
True,,2026-12-31T15:00:00Z,2025-05-10T13:19:07.200044Z,This market will close and expire early if the event occurs.,KXCONGRESSTRADES-25,2026-05-15T15:00:00Z,2026-12-31T15:00:00Z,,2,0.0200,2026-12-31T15:00:00Z,262682,2626.8200,binary,99,0.9900,10,0.1000,David Kustoff,100,1.0000,5,2025-05-10T14:00:00Z,2,0.0200,90,0.9000,1,0.0100,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If David Kustoff is the person in Congress that has the highest return on their assets in 2025, then the market resolves to Yes.",,1800,active,,1,KXCONGRESSTRADES-25-DKUS,Which member of Congress will have the biggest returns this year?,5,0,90,0.9000,1,0.0100,David Kustoff,{'Member': 'David Kustoff'},custom
True,,2026-12-31T15:00:00Z,2025-05-10T13:19:07.200043Z,This market will close and expire early if the event occurs.,KXCONGRESSTRADES-25,2026-05-15T15:00:00Z,2026-12-31T15:00:00Z,,0,0.0000,2026-12-31T15:00:00Z,193301,1933.0100,binary,100,1.0000,8,0.0800,Ron Wyden,100,1.0000,0,2025-05-10T14:00:00Z,0,0.0000,92,0.9200,0,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If Ron Wyden is the person in Congress that has the highest return on their assets in 2025, then the market resolves to Yes.",,1800,active,,1,KXCONGRESSTRADES-25-RWYD,Which member of Congress will have the biggest returns this year?,0,0,92,0.9200,0,0.0000,Ron Wyden,{'Member': 'Ron Wyden'},custom
True,,2026-12-31T15:00:00Z,2025-05-10T13:19:07.200043Z,This market will close and expire early if the event occurs.,KXCONGRESSTRADES-25,2026-05-15T15:00:00Z,2026-12-31T15:00:00Z,,0,0.0000,2026-12-31T15:00:00Z,129748,1297.4800,binary,100,1.0000,4,0.0400,Roger Williams,100,1.0000,0,2025-05-10T14:00:00Z,0,0.0000,96,0.9600,0,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If Roger Williams is the person in Congress that has the highest return on their assets in 2025, then the market resolves to Yes.",,1800,active,,1,KXCONGRESSTRADES-25-RWIL,Which member of Congress will have the biggest returns this year?,0,0,96,0.9600,0,0.0000,Roger Williams,{'Member': 'Roger Williams'},custom
True,,2026-12-31T15:00:00Z,2025-05-10T13:19:07.200043Z,This market will close and expire early if the event occurs.,KXCONGRESSTRADES-25,2026-05-15T15:00:00Z,2026-12-31T15:00:00Z,,4,0.0400,2026-12-31T15:00:00Z,185313,1853.1300,binary,98,0.9800,76,0.7600,Morgan McGarvey,100,1.0000,49,2025-05-10T14:00:00Z,4,0.0400,24,0.2400,2,0.0200,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If Morgan McGarvey is the person in Congress that has the highest return on their assets in 2025, then the market resolves to Yes.",,1800,active,,1,KXCONGRESSTRADES-25-MMCG,Which member of Congress will have the biggest returns this year?,49,0,24,0.2400,2,0.0200,Morgan McGarvey,{'Member': 'Morgan McGarvey'},custom
