count,created_time,no_price,no_price_dollars,price,taker_side,ticker,trade_id,yes_price,yes_price_dollars,market_ticker,market_title,datetime
12,2025-12-22T04:49:03.986442Z,37,0.3700,0.63,yes,KXFTA-29,e55b9bd7-6cbb-66f9-989e-ecc91302cda3,63,0.6300,KXFTA-29,"Will Trump make a new free trade agreement with any country before Jan 20, 2029?",2025-12-22 04:49:03.986442+00:00
4,2025-12-22T04:49:03.986442Z,37,0.3700,0.63,yes,KXFTA-29,2a6e3354-46b1-6c0d-8b81-c13c94614517,63,0.6300,KXFTA-29,"Will Trump make a new free trade agreement with any country before Jan 20, 2029?",2025-12-22 04:49:03.986442+00:00
1,2025-12-20T19:30:54.16555Z,42,0.4200,0.58,no,KXFTA-29,d21d5eac-f08f-54f1-f2d7-8c366a6b200e,58,0.5800,KXFTA-29,"Will Trump make a new free trade agreement with any country before Jan 20, 2029?",2025-12-20 19:30:54.165550+00:00
1,2025-12-20T19:15:36.588215Z,37,0.3700,0.63,yes,KXFTA-29,db04c42c-4d99-42ad-663b-35238e5dacdb,63,0.6300,KXFTA-29,"Will Trump make a new free trade agreement with any country before Jan 20, 2029?",2025-12-20 19:15:36.588215+00:00
11,2025-12-20T12:47:29.280077Z,41,0.4100,0.59,no,KXFTA-29,f35996f1-781d-46d9-888f-ec81f80b40df,59,0.5900,KXFTA-29,"Will Trump make a new free trade agreement with any country before Jan 20, 2029?",2025-12-20 12:47:29.280077+00:00
12,2025-12-20T12:47:29.280077Z,42,0.4200,0.58,no,KXFTA-29,7367e033-d086-45eb-83dd-319d94873821,58,0.5800,KXFTA-29,"Will Trump make a new free trade agreement with any country before Jan 20, 2029?",2025-12-20 12:47:29.280077+00:00
25,2025-12-20T12:47:29.280077Z,42,0.4200,0.58,no,KXFTA-29,5ddda093-1ab0-4c9a-baa5-2f06a4a339cb,58,0.5800,KXFTA-29,"Will Trump make a new free trade agreement with any country before Jan 20, 2029?",2025-12-20 12:47:29.280077+00:00
1,2025-12-20T02:20:23.872271Z,41,0.4100,0.59,no,KXFTA-29,722b81e2-129d-49a5-7942-7e1af209570b,59,0.5900,KXFTA-29,"Will Trump make a new free trade agreement with any country before Jan 20, 2029?",2025-12-20 02:20:23.872271+00:00
2,2025-12-19T16:07:03.196131Z,41,0.4100,0.59,no,KXFTA-29,012063a8-ac65-4f09-f01a-9c456659e027,59,0.5900,KXFTA-29,"Will Trump make a new free trade agreement with any country before Jan 20, 2029?",2025-12-19 16:07:03.196131+00:00
1,2025-12-16T11:43:43.083515Z,37,0.3700,0.63,yes,KXFTA-29,1afa0e5b-e907-5edf-a24c-add304f68f17,63,0.6300,KXFTA-29,"Will Trump make a new free trade agreement with any country before Jan 20, 2029?",2025-12-16 11:43:43.083515+00:00
